station_name,peak_traffic,total_stores
옥수,1164358.0,655
선바위,1042350.0,11
신사,3627050.0,9716
서원,461858.0,569
도화,452077.0,1863
독립문,930791.0,242
선유도,1582811.0,205
의왕,1282427.0,5156
대공원,407766.0,35
팔당,95129.0,141
석촌고분,1118960.0,1
천호(풍납토성),4834616.0,0
세종대왕릉,39831.0,0
정부과천청사,2562022.0,7
신흥,689244.0,5300
삼송,2527672.0,2030
연수,605106.0,149
아현,1416547.0,1679
삼성중앙,1411319.0,6
숙대입구(갈월),2077026.0,0
곤지암,302696.0,1579
인덕원,4121811.0,764
반포,756483.0,8625
구로,2325966.0,19534
신내,430434.0,1916
화랑대(서울여대입구),1424695.0,0
태평,1648736.0,5411
대곡,1380135.0,370
오목천,601223.0,657
가천대,1220125.0,39
청라국제도시,983259.0,0
도원,477285.0,412
남구로,2708771.0,2
강동구청,1625368.0,4
대화,1196773.0,3435
서울숲,1805512.0,1313
미아(서울사이버대학),1993256.0,0
김유정,42422.0,0
한성대입구(삼선교),1670295.0,0
문정,4521235.0,7917
애오개,974297.0,14
성남,165412.0,45285
영통,1177619.0,17624
도곡,1786927.0,5857
종합운동장,2397941.0,153
암사,2208317.0,2074
탕정,232538.0,0
증산(명지대앞),1291814.0,0
보정,310973.0,1936
명일,1061874.0,2705
수서,4999435.0,1042
정왕,1253906.0,8187
구산,964554.0,957
봉화산(서울의료원),1080182.0,0
화정,2095571.0,3836
대방,2078275.0,4902
노량진,4836207.0,2438
부천,3640648.0,36561
먹골,1363763.0,9
광흥창(서강),1415319.0,0
회현(남대문시장),3719286.0,0
봉천,3295385.0,9011
종로3가,5715540.0,350
이태원,1345317.0,3195
상일동,1830784.0,827
제기동,1597832.0,2223
가락시장,2539226.0,6
남한산성입구(성남법원.검찰청),1785485.0,0
화곡,4062903.0,8683
한남,442936.0,2342
석계,2521405.0,397
백양리,13736.0,0
신둔도예촌,185823.0,0
오금,1546917.0,4479
검암,883436.0,17
관악,916500.0,21132
사릉,280246.0,672
쌍용(나사렛대),317192.0,0
금곡,219463.0,5638
부평,3348167.0,335
경복궁(정부서울청사),3827263.0,0
간석,669905.0,0
평택,1423905.0,31954
두정,921523.0,45
솔밭공원,306832.0,0
석수,1037031.0,1824
평내호평,801335.0,15
아차산(어린이대공원후문),2029213.0,0
압구정,4155661.0,3333
망우,933123.0,3795
김포공항,3443867.0,112
이촌(국립중앙박물관),1652018.0,0
마장,777966.0,2876
운천,9.0,704
마들,1642390.0,1541
사평,535940.0,1874
병점,1855355.0,8429
원종,653413.0,2116
운정,864699.0,1079
주엽,957104.0,2408
매봉,2178704.0,796
외대앞,1198266.0,1
판교,888358.0,5918
청평,192119.0,1281
상봉,3159389.0,2792
영종,471476.0,21
수원,5491103.0,56159
금촌,800311.0,3073
원인재,568956.0,0
삼양사거리,298188.0,0
길동,1166106.0,8575
충정로(경기대입구),2862873.0,0
관악산(서울대),369374.0,0
명동,4406546.0,4716
천마산,174676.0,144
상록수,1905270.0,313
자양(뚝섬한강공원),1247357.0,0
한강진,1457470.0,2
신창(순천향대),242146.0,0
금릉,593242.0,311
수원시청,2138095.0,6
용마산(용마폭포공원),792922.0,0
망포,2222647.0,1495
죽전,1670606.0,5067
하남풍산,645180.0,21
뚝섬,4225837.0,2215
개롱,885212.0,1
오빈,34822.0,101
단대오거리,1702932.0,0
산성,868838.0,4351
금호,1060293.0,3208
장승배기,1252954.0,661
경기광주,1127507.0,89
노원,4925998.0,15457
종각,6567273.0,46
신길온천,239970.0,1
부천종합운동장,411952.0,7
종로5가,2641374.0,672
보문,1376534.0,1543
등촌,1802137.0,4391
방배,2398510.0,6326
양평,1939240.0,11207
보산,162597.0,357
야목,71982.0,77
어린이대공원(세종대),2215485.0,0
북한산우이,324786.0,0
광운대,1000218.0,19
무악재,572185.0,2
녹천,500330.0,2
인천공항1터미널,1327247.0,0
강촌,44970.0,434
불광,2768808.0,2413
가능,745872.0,2471
사리,647014.0,1590
도농,1204908.0,386
을지로4가,3207844.0,214
고려대(종암),1197580.0,0
방학,1180315.0,2574
개화산,821231.0,3
청구,1172347.0,1262
아신,55692.0,109
독바위,360669.0,139
답십리,2394029.0,3222
영등포,5419610.0,28370
중앙,2269231.0,49742
대성리,58518.0,216
한대앞,1177413.0,2
당곡,675199.0,481
직산,139172.0,18
용답,394872.0,959
범계,3735292.0,262
상계,2209438.0,7071
신정(은행정),1811400.0,0
개봉,2772463.0,2226
장한평,3321695.0,9
기흥,1443568.0,19816
독산,2888071.0,5340
마천,923312.0,1979
야당,967147.0,2149
오산대,504414.0,134
거여,1387450.0,1299
경찰병원,1130539.0,3
운길산,59235.0,20
신금호,930737.0,20
임진강,20.0,1
군자(능동),3775375.0,0
온양온천,472201.0,0
구리,1027492.0,11135
화서,1412026.0,2240
원덕,35640.0,12
논현,2982192.0,16883
연신내,4518334.0,32
국회의사당,3562317.0,4
공항화물청사,402720.0,1
양원,379579.0,417
개화,304094.0,228
남태령,184987.0,7
굴봉산,10143.0,0
부발,279542.0,1498
도봉,667625.0,14185
도봉산,1801236.0,264
압구정로데오,2441620.0,32
역촌,574993.0,1612
구의(광진구청),3807311.0,0
당고개,243546.0,10
서울지방병무청,438877.0,0
신대방,3288979.0,1451
파주,172990.0,23816
시청,1.000005E7,2164
한국항공대,291257.0,4
수색,529802.0,955
인천공항2터미널,734842.0,0
역곡,3357325.0,1790
신촌,4404030.0,4162
까치산,3801469.0,617
낙성대(강감찬),3808518.0,0
공릉(서울과학기술대),1573950.0,0
덕계,786850.0,1159
동작(현충원),431864.0,0
서울대벤처타운,1243159.0,1
불암산,778534.0,73
가오리,511563.0,0
마석,465300.0,1611
삼전,1258857.0,1757
숭실대입구(살피재),1741673.0,0
계양,1323392.0,51
오이도,931810.0,595
백석,1251202.0,4134
지평,3326.0,331
홍대입구,9560354.0,9
신정네거리,1388223.0,0
능곡,568465.0,1379
대청,1481474.0,744
보라매,1677265.0,951
구로디지털단지,9109177.0,4
응봉,207440.0,188
을지로3가,6552896.0,697
왕십리(성동구청),4657543.0,0
이천,385070.0,12579
화계,422658.0,14
새절(신사),1655171.0,0
암사역사공원,880352.0,0
수유(강북구청),4315172.0,0
안양,2919342.0,28872
서대문,4015747.0,13637
동대입구,1611969.0,3
상동,1.0,7353
의정부,2205654.0,20299
곡산,94288.0,41
정발산,884981.0,3078
삼동,317716.0,18086
녹양,512738.0,948
천안,707246.0,62
상갈,649442.0,487
디지털미디어시티,5472491.0,8
남부터미널(예술의전당),4772708.0,0
이매,823034.0,960
정릉,563487.0,2336
충무로,4923884.0,2725
언주,1911158.0,4266
금정,4188564.0,2629
도림천,198742.0,158
양천향교,1755892.0,20
월롱,284529.0,736
구파발,2615670.0,68
미아사거리,3190222.0,0
일원,1137489.0,1210
청명,662778.0,1138
사당,8661248.0,4756
고색,885975.0,1426
신반포,579333.0,3161
하계,2182956.0,784
효창공원앞,1762370.0,2
마포,2541532.0,30645
신용산,3256742.0,7
올림픽공원(한국체대),1565353.0,0
한양대,1501296.0,354
송도,286549.0,17
강일,745041.0,545
삼각지,497146.0,1
솔샘,748855.0,1121
동두천,213219.0,4515
서정리,903151.0,2
양천구청,926058.0,1
목동,2478039.0,16541
남위례,1130191.0,10
신당,3191843.0,3690
상월곡(한국과학기술연구원),864106.0,0
학동,4250855.0,7694
공덕,6770802.0,2103
신도림,7138466.0,1605
녹번,2067412.0,1243
망월사,963978.0,0
덕소,624614.0,1600
풍산,730832.0,2600
수내,1828188.0,2726
마포구청,2052291.0,3
서울대입구(관악구청),6030013.0,0
약수,2242967.0,103
굽은다리(강동구민회관앞),1274754.0,0
미사,2305687.0,8682
여주,327583.0,6819
신설동,2864220.0,1229
둔촌오륜,570080.0,0
산본,2120057.0,4795
문산,673959.0,2322
지행,776218.0,1284
신림,7636367.0,9966
강남구청,4213022.0,7
망원,1983905.0,2677
북한산보국문,762415.0,0
가평,220490.0,6391
면목,2001692.0,6107
창신,450422.0,1451
행당,1110182.0,2107
신이문,1026186.0,145
구룡,439683.0,210
춘천,155550.0,4
한성백제,476676.0,1
금천구청,1612955.0,2
서현,3138098.0,4057
봉명,145763.0,96
도심,301154.0,121
광나루(장신대),1513545.0,0
연천,125530.0,2616
가양,3150334.0,1286
염창,2441061.0,1137
원흥,1433839.0,1567
평택지제,451956.0,211
인하대,916834.0,0
회룡,1463033.0,511
수리산,497161.0,345
진위,240618.0,664
발산,3637883.0,5213
상천,27021.0,147
방화,869062.0,2919
월곡(동덕여대),1694524.0,0
달월,15499.0,9
신풍,1585520.0,954
우장산,1895183.0,390
고잔,1140140.0,8517
길음,2808751.0,1440
세류,411593.0,2288
지축,1036732.0,848
보라매공원,370505.0,1
모란,2981945.0,289
중곡,1577584.0,3939
월계,830848.0,2012
오목교(목동운동장앞),3031514.0,0
온수(성공회대입구),2184053.0,0
중동,1044153.0,12285
소사,833436.0,9905
잠원,738790.0,3471
매탄권선,783652.0,1
대야미,638243.0,212
양정,69739.0,171
남동인더스파크,449733.0,0
동두천중앙,371867.0,0
창동,3267251.0,10807
송내,3741158.0,2916
선릉,1.0780917E7,6496
보라매병원,1288473.0,3
배방,152354.0,0
복정,1323417.0,808
숭의,548958.0,16
동대문,2827595.0,18106
신논현,3961766.0,76
한티,1940028.0,27
버티고개,327112.0,0
총신대입구(이수),2673896.0,0
4.19민주묘지,415911.0,0
양재(서초구청),6423432.0,0
서강대,289110.0,58
경마공원,884518.0,65
성균관대,2009704.0,47
남영,1504496.0,449
혜화,4107863.0,439
삼성(무역센터),8282001.0,0
원당,1412330.0,696
용두(동대문구청),349397.0,0
신방화,909751.0,18
어천,202693.0,98
공항시장,385746.0,5
하남시청(덕풍·신장),1022219.0,0
녹사평(용산구청),716240.0,0
신대방삼거리,2077071.0,0
몽촌토성(평화의문),1142004.0,0
가좌,809981.0,4329
을지로입구,8483834.0,24
소래포구,542361.0,0
광명,486569.0,13764
세마,457223.0,456
영등포시장,1980477.0,34
신목동,609285.0,30
청산,16684.0,264
성수,7763613.0,8875
상도,1604933.0,3914
둔촌동,1709885.0,1131
미금,1851464.0,1355
중랑,691485.0,14603
동암,1745634.0,14
가산디지털단지,1.2459666E7,6
대림(구로구청),4159692.0,0
돌곶이,1507427.0,1090
회기,3169439.0,1261
