상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800800619,참편한공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11650,서초구,11650600,방배1동,1165010100,방배동,1165010100109270035,1,대지,927,35.0,서울특별시 서초구 방배동 927-35,116504163255,서울특별시 서초구 방배로19길,25,,1165010100109270035014757,,서울특별시 서초구 방배로19길 25,137843,6682,,1,,126.993690874112,37.4848437764076
MA010120220804265295,60계치킨암사,선사점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11740,강동구,11740580,암사2동,1174010700,암사동,1174010700105020004,1,대지,502,4.0,서울특별시 강동구 암사동 502-4,117404172130,서울특별시 강동구 상암로3길,8,,1174010700105020004015779,암사동정웅빌딩,서울특별시 강동구 상암로3길 8,134877,5241,,1,,127.12685944831,37.5508103363035
MA010120220809658173,성심인력공사,,N1,시설관리·임대,N104,고용 알선,N10401,고용 알선업,N75110,고용 알선업,11,서울특별시,11170,용산구,11170530,남영동,1117010700,동자동,1117010700100430059,1,대지,43,59.0,서울특별시 용산구 동자동 43-59,111702005005,서울특별시 용산구 한강대로,385,,1117010700100430059022991,,서울특별시 용산구 한강대로 385,140821,4320,,,,126.9722395561,37.5528033564175
MA010120220808205276,칸토빈,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11500,강서구,11500620,공항동,1150010800,공항동,1150010800200200002,2,산,20,2.0,서울특별시 강서구 공항동 산 20-2,115003115005,서울특별시 강서구 방화동로,30,,1150010800200200002002536,공항시장역,서울특별시 강서구 방화동로 30,157240,7619,,1,,126.810493420523,37.5635475852734
MA010120220804370987,까치노래연습장,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,11,서울특별시,11350,노원구,11350670,상계5동,1135010500,상계동,1135010500101690179,1,대지,169,179.0,서울특별시 노원구 상계동 169-179,113504130395,서울특별시 노원구 한글비석로23길,2,,1135010500101690179002482,,서울특별시 노원구 한글비석로23길 2,139815,1682,,,,127.071218433973,37.6607146876306
MA010120220810170381,금빛주얼리,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015100,묘동,1111015100100880001,1,대지,88,1.0,서울특별시 종로구 묘동 88-1,111104100049,서울특별시 종로구 돈화문로10길,2,,1111015100100880001000001,종로주얼리타운,서울특별시 종로구 돈화문로10길 2,110370,3138,,1,,126.991860998911,37.5723309345668
MA010120220800218616,골든공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11440,마포구,11440730,성산2동,1144012500,성산동,1144012500105920002,1,대지,592,2.0,서울특별시 마포구 성산동 592-2,114404139505,서울특별시 마포구 월드컵로34길,6,,1144012500105920002027942,,서울특별시 마포구 월드컵로34길 6,121850,3938,,,,126.903066529849,37.5645698895175
MA010120220808410429,한솔부동산공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11500,강서구,11500590,화곡본동,1150010300,화곡동,1150010300101020040,1,대지,102,40.0,서울특별시 강서구 화곡동 102-40,115004145272,서울특별시 강서구 까치산로4길,60,,1150010300101020040016812,,서울특별시 강서구 까치산로4길 60,157872,7730,,1,,126.845888881778,37.5404164324802
MA010120220800970162,미다스,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47416,가죽 및 모피 의복 소매업,11,서울특별시,11620,관악구,11620695,신림동,1162010200,신림동,1162010200114220005,1,대지,1422,5.0,서울특별시 관악구 신림동 1422-5,116203120005,서울특별시 관악구 신림로,340,,1162010200114220005013856,,서울특별시 관악구 신림로 340,151890,8754,,2,,126.930090897149,37.484760191633
MA010120220809640417,솜노래팡팡,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800115770002,1,대지,1577,2.0,서울특별시 서초구 서초동 1577-2,116504163414,서울특별시 서초구 서초대로50길,75,,1165010800115770002022148,,서울특별시 서초구 서초대로50길 75,137875,6650,,1,,127.013851606041,37.4898617477459
MA010120220804301582,한양가구갤러리주,,G2,소매,G211,가구 소매,G21101,가구 소매업,G47520,가구 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100270005,1,대지,27,5.0,서울특별시 송파구 잠실동 27-5,117103123023,서울특별시 송파구 올림픽로,215,,1171010100100270005000276,중앙상가,서울특별시 송파구 올림픽로 215,138916,5503,,,,127.095046955001,37.514007314876
MA010120220805164097,미드제이,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11215,광진구,11215760,중곡3동,1121510100,중곡동,1121510100101720055,1,대지,172,55.0,서울특별시 광진구 중곡동 172-55,112153005027,서울특별시 광진구 면목로,150,,1121510100101720055026240,,서울특별시 광진구 면목로 150,143900,4908,,1,,127.08185925513,37.5666806239634
MA010120220804484713,세마스포츠마케팅,,N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업,N75992,전시; 컨벤션 및 행사 대행업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100106290006,1,대지,629,6.0,서울특별시 강남구 역삼동 629-6,116804166726,서울특별시 강남구 테헤란로25길,47,,1168010100106290006022820,,서울특별시 강남구 테헤란로25길 47,135908,6126,,,,127.034403500666,37.5035708708366
MA010120220811919388,해뜨는약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11590,동작구,11590530,상도1동,1159010300,상도1동,1159010300106210000,1,대지,621,,서울특별시 동작구 상도1동 621,115903005080,서울특별시 동작구 양녕로,281,,1159010300106210000029447,상도빌딩,서울특별시 동작구 양녕로 281,156830,6919,,1,,126.949468470182,37.5045832089003
MA010120220803750708,우성그린공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11230,동대문구,11230610,답십리2동,1123010500,답십리동,1123010500100010047,1,대지,1,47.0,서울특별시 동대문구 답십리동 1-47,112303005038,서울특별시 동대문구 한천로,145,,1123010500100010047019634,,서울특별시 동대문구 한천로 145,130800,2535,,1,,127.06670960373,37.5740062373208
MA010120220804161926,유정지식서비스센터,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106510000,1,대지,651,,서울특별시 송파구 문정동 651,117102005011,서울특별시 송파구 송파대로,167,,1171010800103250003000001,문정역테라타워,서울특별시 송파구 송파대로 167,138888,5855,,,,127.12092458662,37.484655921223
MA010120220800992306,힐링세차장,,S2,수리·개인,S203,자동차 수리·세차,S20302,자동차 세차장,S95213,자동차 세차업,11,서울특별시,11620,관악구,11620605,은천동,1162010100,봉천동,1162010100109310016,1,대지,931,16.0,서울특별시 관악구 봉천동 931-16,116203005083,서울특별시 관악구 봉천로,376,,1162010100109310017040720,,서울특별시 관악구 봉천로 376,151843,8757,,,,126.941432741068,37.4831445430069
