USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202501,1호선,서울역,560.0,51.0,8353.0,7685.0,20145.0,46128.0,61204.0,103944.0,101648.0,212041.0,82745.0,143188.0,84689.0,84059.0,100778.0,84201.0,117895.0,98491.0,115677.0,98587.0,100616.0,92390.0,123489.0,105002.0,136918.0,108439.0,194132.0,125921.0,226622.0,139109.0,126968.0,99249.0,91632.0,70567.0,93721.0,64819.0,61489.0,45228.0,28021.0,23793.0,4266.0,6765.0,239.0,237.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,시청,89.0,0.0,1633.0,4268.0,3078.0,20969.0,6047.0,61835.0,8413.0,168180.0,10230.0,78238.0,12944.0,40446.0,19001.0,42728.0,21188.0,44488.0,27616.0,51215.0,39919.0,43881.0,55007.0,34339.0,69207.0,28004.0,89724.0,27045.0,146293.0,22989.0,60550.0,12394.0,50157.0,8748.0,42548.0,7281.0,25105.0,4989.0,8471.0,3044.0,429.0,811.0,9.0,24.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,종각,138.0,3.0,4176.0,4949.0,3897.0,28257.0,5592.0,99730.0,9001.0,234423.0,10885.0,129348.0,15958.0,55283.0,25375.0,54132.0,30702.0,50033.0,38596.0,54426.0,51096.0,45280.0,65643.0,41445.0,83262.0,41884.0,143005.0,46444.0,203922.0,46683.0,93066.0,23397.0,79473.0,12018.0,77659.0,9173.0,56829.0,6455.0,24793.0,4161.0,1714.0,1049.0,12.0,16.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,종로3가,140.0,9.0,3338.0,2424.0,3227.0,9593.0,4432.0,22259.0,7290.0,55799.0,10916.0,56161.0,17115.0,50381.0,28173.0,60941.0,40398.0,62220.0,45282.0,59530.0,54172.0,51337.0,63620.0,43871.0,69648.0,40426.0,80023.0,37703.0,84231.0,36626.0,50266.0,18705.0,42311.0,10241.0,42297.0,7962.0,32251.0,6161.0,14304.0,4001.0,1378.0,1692.0,14.0,38.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,종로5가,33.0,1.0,1504.0,2880.0,2611.0,12776.0,4801.0,34550.0,8449.0,77766.0,11518.0,53056.0,19655.0,49201.0,29640.0,53383.0,38432.0,50347.0,46746.0,50541.0,54644.0,47253.0,59242.0,40398.0,62857.0,35723.0,79436.0,31788.0,81789.0,27686.0,42757.0,14865.0,30765.0,8583.0,27186.0,6211.0,15062.0,4783.0,4851.0,3106.0,255.0,809.0,0.0,21.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,동대문,574.0,24.0,9298.0,1703.0,7860.0,5151.0,11813.0,8559.0,18158.0,15811.0,18430.0,18049.0,16026.0,20262.0,17468.0,24872.0,22384.0,25646.0,25385.0,26082.0,27184.0,24958.0,27875.0,24307.0,28303.0,22684.0,26663.0,21429.0,23573.0,21212.0,16634.0,18842.0,14155.0,13464.0,12642.0,13031.0,9308.0,12924.0,4945.0,8278.0,701.0,2571.0,12.0,217.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,신설동,362.0,10.0,7742.0,1924.0,8178.0,6905.0,17444.0,19817.0,27940.0,45873.0,18253.0,28418.0,16877.0,19426.0,19071.0,18092.0,21238.0,18266.0,23468.0,19427.0,22655.0,18130.0,24264.0,19640.0,27593.0,20644.0,36745.0,22233.0,47418.0,28018.0,18013.0,20072.0,12334.0,14444.0,10499.0,13853.0,7529.0,11598.0,3409.0,7801.0,360.0,2314.0,3.0,46.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,제기동,305.0,1.0,4599.0,2124.0,7544.0,8403.0,18179.0,18059.0,27346.0,32939.0,19846.0,28400.0,22156.0,35802.0,30131.0,48588.0,39187.0,50713.0,42384.0,53088.0,48430.0,50324.0,52009.0,39642.0,49715.0,33170.0,42855.0,25530.0,35211.0,23917.0,18371.0,16477.0,12333.0,11216.0,7975.0,10118.0,5118.0,8651.0,2214.0,5610.0,189.0,1381.0,8.0,49.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,청량리(서울시립대입구),830.0,15.0,8829.0,2757.0,14761.0,8484.0,39975.0,14279.0,49548.0,32939.0,32758.0,31149.0,29960.0,37273.0,38198.0,47757.0,44745.0,48869.0,49053.0,51592.0,53029.0,54152.0,58292.0,49879.0,56912.0,46897.0,50140.0,45912.0,41811.0,52294.0,24100.0,34991.0,18407.0,22043.0,14336.0,20684.0,8920.0,17536.0,3751.0,11075.0,308.0,3378.0,5.0,64.0,0.0,0.0,0.0,0.0,20250203
202501,1호선,동묘앞,140.0,5.0,2218.0,815.0,3245.0,4101.0,7160.0,6660.0,11567.0,13278.0,9781.0,14666.0,11100.0,19280.0,15751.0,27393.0,22120.0,31223.0,27830.0,34737.0,32780.0,31568.0,34715.0,26600.0,33501.0,18892.0,27785.0,12894.0,17615.0,11060.0,8443.0,8456.0,4992.0,6118.0,4222.0,6035.0,2884.0,5989.0,1246.0,3908.0,133.0,1749.0,2.0,214.0,0.0,0.0,0.0,0.0,20250203
202501,2호선,시청,8.0,1.0,1021.0,1689.0,2125.0,17385.0,4666.0,63189.0,7236.0,198788.0,10634.0,81367.0,15858.0,27728.0,22511.0,25834.0,22297.0,27211.0,26817.0,29571.0,35902.0,27742.0,44661.0,24076.0,53182.0,20669.0,97967.0,21521.0,156857.0,21010.0,60117.0,11781.0,44857.0,8153.0,38570.0,7400.0,22708.0,5878.0,8601.0,3685.0,1063.0,980.0,1.0,51.0,0.0,0.0,0.0,0.0,20250203
202501,2호선,을지로입구,43.0,2.0,2170.0,2676.0,4211.0,27237.0,9118.0,115887.0,14025.0,302325.0,21174.0,147582.0,28545.0,83038.0,38660.0,69444.0,43108.0,60453.0,54102.0,65831.0,64360.0,59511.0,77930.0,56551.0,92876.0,60368.0,159367.0,68108.0,257730.0,67989.0,128541.0,42127.0,123659.0,28131.0,81109.0,22679.0,63886.0,17590.0,25847.0,9893.0,3052.0,3939.0,7.0,758.0,0.0,4.0,0.0,0.0,20250203
202501,2호선,을지로3가,11.0,0.0,1204.0,1955.0,2663.0,17865.0,5462.0,63847.0,10608.0,149410.0,13267.0,61875.0,18334.0,29779.0,21887.0,26685.0,23633.0,25243.0,26928.0,28452.0,30956.0,25428.0,34618.0,25650.0,43990.0,30072.0,83011.0,35698.0,123436.0,40000.0,51571.0,24491.0,40118.0,15056.0,43601.0,12706.0,36169.0,10838.0,19180.0,6579.0,2916.0,1518.0,8.0,64.0,0.0,0.0,0.0,0.0,20250203
202501,2호선,을지로4가,9.0,0.0,952.0,936.0,2182.0,11082.0,4943.0,30234.0,10216.0,65971.0,11012.0,33500.0,14868.0,22890.0,18125.0,23003.0,18731.0,20866.0,20196.0,20585.0,23054.0,19951.0,26333.0,18704.0,30775.0,16876.0,53392.0,16993.0,58836.0,16758.0,24698.0,11629.0,15508.0,8981.0,12858.0,9098.0,8814.0,8588.0,4190.0,5519.0,724.0,1295.0,1.0,32.0,0.0,0.0,0.0,0.0,20250203
202501,2호선,동대문역사문화공원(DDP),185.0,17.0,4006.0,1028.0,3506.0,7800.0,5527.0,16671.0,10490.0,37826.0,12834.0,26241.0,14691.0,26567.0,17161.0,26603.0,20861.0,28604.0,21583.0,29150.0,25729.0,30115.0,30126.0,28951.0,33921.0,27976.0,42555.0,29109.0,43377.0,33139.0,28883.0,28764.0,22889.0,21364.0,21658.0,16973.0,17597.0,14377.0,8038.0,8803.0,1512.0,2320.0,13.0,85.0,0.0,1.0,0.0,0.0,20250203
202501,2호선,신당,48.0,1.0,4970.0,1075.0,9664.0,6155.0,25351.0,12062.0,44563.0,24368.0,25804.0,19533.0,18343.0,17358.0,18307.0,20005.0,21441.0,21927.0,22698.0,22773.0,22840.0,23364.0,23972.0,25456.0,26633.0,30031.0,28885.0,39075.0,30844.0,54540.0,20733.0,34913.0,17198.0,22315.0,16908.0,19647.0,15963.0,18006.0,7788.0,11238.0,1324.0,3177.0,6.0,12.0,0.0,0.0,0.0,0.0,20250203
